field_name,source_file
"type_contact","D_code_type_contact.csv"
"age_min_surface","D_code_geochronology.csv"
"age_max_surface","D_code_geochronology.csv"
"evaluation_method","D_table_evaluation_method.csv"
"observation_method","D_table_observation_method.csv"
"type_fault","D_code_type_fault.csv"
"type_unit","D_code_type_unit.csv"
"type_lithology_main","D_code_lithology.csv"
"type_lithology_sec","D_code_lithology.csv"
"age_up","D_code_geochronology.csv"
"age_low","D_code_geochronology.csv"
"type_event_process","D_table_event_process.csv"
"type_event_environment","D_table_event_environment.csv"